"K","mada_mean_percent","corrected_mean_percent","mada_median_percent","corrected_median_percent","mean_var_mu_Se","mean_var_mu_FPR","mean_tau2_Se","mean_tau2_FPR","population_I2_percent"
6,52.2545634287972,72.2430670291281,61.0870247334941,85.9273161618866,0.234322426440157,0.0708997036433491,1.3088773732521,0.412128162696692,90.5571814316992
10,50.7695998103887,83.3020933528076,53.7688488847812,88.3993158885257,0.137407891814736,0.0414541027297513,1.27645289759275,0.401230956623965,90.5571814316992
20,39.02598958146,88.114837355115,40.10926347983,89.5167209732216,0.0676330019293507,0.021151904874588,1.2533295890369,0.409810340145265,90.5571814316992
40,25.9737797475512,89.7614706743406,26.1327642320815,90.017911330907,0.0332421962346915,0.010349635326064,1.22813341717541,0.40082283836015,90.5571814316992
80,15.3229105078041,90.1421641190992,15.3848986133298,90.3278998934442,0.0165615265283477,0.00520215447714382,1.2247228234135,0.402917002722862,90.5571814316992
160,8.4231328646862,90.2988766048754,8.39253390446034,90.3175509766432,0.00841741491241638,0.00262278053301227,1.24573598472047,0.406385798083132,90.5571814316992
