"dataset","k","pooled_sensitivity","pooled_specificity","mu_logit_Se","mu_logit_FPR","var_mu_Se","var_mu_FPR","tau2_Se","tau2_FPR","rho_Se_FPR"
"AuditC6",6,0.855586347767693,0.826132155361783,1.77910525422047,-1.55845925804347,0.217241608578015,0.101931971730696,1.15959101154976,0.590526346235943,0.932063731624123
"AuditC",14,0.890878124098328,0.77966082733466,2.09974224746266,-1.26369093526862,0.114143303003829,0.0303914393445064,1.37958289158894,0.40720815563316,0.8542745195356
