"dataset","implementation","theta_Se","theta_Sp","tau2_Se","tau2_FPR","rho","Evar_Se","Evar_Sp","det_between","det_expected_within","I2","I2_percent"
"dragota_primary","mada native / exact reconstruction",1.19534925300008,0.904158796453163,0.102234910879013,0.130993350160168,-0.0582487788014241,0.0401118356231203,0.0514960324335685,0.013346655174455,0.00206560038821817,0.717667808460611,71.7667808460611
"dragota_primary","Psi only; mada denominators retained",1.19534925300008,0.904158796453163,0.571132552140542,0.72434447618016,-0.0582487788014241,0.0470531592223681,0.0622647024204822,0.412293069374809,0.00292975095692432,0.922256504725639,92.2256504725639
"dragota_primary","mada SE^2; corrected denominators only",1.19534925300008,0.904158796453163,0.102234910879013,0.130993350160168,-0.0582487788014241,0.0477394262520526,0.067726220523288,0.013346655174455,0.00323321091000176,0.670156957144875,67.0156957144875
"dragota_primary","full Zhou-Dendukuri reconstruction",1.19534925300008,0.904158796453163,0.571132552140542,0.72434447618016,-0.0582487788014241,0.056000698789451,0.0818888906128154,0.412293069374809,0.00458583509741058,0.904597136857896,90.4597136857896
"manetas_ppg","mada native / exact reconstruction",2.96620989855185,3.24395046272036,0.054822305998121,0.0499099401035939,0.791380603969311,0.22131879990539,0.225230915528412,0.00102255552454661,0.0498478359263404,0.125281919515605,12.5281919515605
"manetas_ppg","Psi only; mada denominators retained",2.96620989855185,3.24395046272036,0.735860384590739,0.679582336014487,0.791380603969311,0.302944556444064,0.302688914107341,0.186887414774453,0.091697958824784,0.58807256086578,58.807256086578
"manetas_ppg","mada SE^2; corrected denominators only",2.96620989855185,3.24395046272036,0.054822305998121,0.0499099401035939,0.791380603969311,0.243535341664087,0.217113630457938,0.00102255552454661,0.0528748421735041,0.122087238309346,12.2087238309346
"manetas_ppg","full Zhou-Dendukuri reconstruction",2.96620989855185,3.24395046272036,0.735860384590739,0.679582336014487,0.791380603969311,0.333354898410886,0.291780055535607,0.186887414774453,0.0972663107713949,0.580914065184109,58.0914065184109
"manetas_ecg","mada native / exact reconstruction",2.48953329732194,3.23343481067128,0.044535440629431,0.0368538835438348,0.276013339709987,0.47668723091943,0.30777291495222,0.00151626388733789,0.146711418580575,0.0922799529763673,9.22799529763673
"manetas_ecg","Psi only; mada denominators retained",2.48953329732194,3.23343481067128,0.942812731056311,0.809387698509607,0.276013339709987,0.709445196398361,0.442470872323831,0.704965423474004,0.313908834916335,0.599773890506496,59.9773890506496
"manetas_ecg","mada SE^2; corrected denominators only",2.48953329732194,3.23343481067128,0.044535440629431,0.0368538835438348,0.276013339709987,0.85269898367994,0.299307946798851,0.00151626388733789,0.25521958204271,0.071562128041999,7.1562128041999
